Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
SLC,RNO,Salt Lake City UT,Reno NV,5643,8700,58,422,12/1/1998,906185,315959,40.78839874,-111.9779968,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,3792,7140,51,809,3/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,795,1638,14,809,5/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,1068,2380,17,809,5/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,279,585,5,809,1/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,117,117,1,809,2/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,4224,6720,48,809,2/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,148,148,1,809,2/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,889,1820,13,809,4/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,2539,6020,43,809,1/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,992,1872,16,809,4/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,693,1400,10,809,6/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
COS,RNO,Colorado Springs CO,Reno NV,182,234,2,809,3/1/1998,510597,315959,38.80580139,-104.7009964,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,132,244,2,390,5/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3391,3874,26,1406,4/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2327,3600,24,1406,2/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1754,2664,18,390,2/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,146,244,2,390,1/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,8560,12600,90,390,2/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,9238,14280,102,390,1/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
FSD,RNO,Sioux Falls SD,Reno NV,139,149,1,1222,5/1/1998,175077,315959,43.58200073,-96.74189758,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1694,3404,23,390,11/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
FSD,RNO,Sioux Falls SD,Reno NV,149,149,1,1222,6/1/1998,175077,315959,43.58200073,-96.74189758,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,4557,6109,41,1406,12/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,1413,3000,20,1406,12/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,0,116,1,390,5/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,12513,21560,154,390,6/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,13055,19880,142,390,7/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2943,4023,27,1406,1/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,4324,5733,49,390,1/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,643,1036,7,390,5/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2133,4050,27,1406,5/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,1143,1952,16,390,9/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,4676,10001,73,390,9/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3998,5066,34,1406,5/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,8021,13300,95,390,9/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,4164,6201,53,390,9/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,2571,4736,32,390,9/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,5624,9590,70,390,12/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,625,888,6,390,6/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
